,"Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)","Estimate of current tobacco use prevalence (%) (age-standardized rate)"
,"2025","2025","2025","2020","2020","2020","2019","2019","2019","2018","2018","2018","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Countries, territories and areas","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Germany","19.5","21.2","17.7","22","24.1","19.9","22.5","24.6","20.4","22.5","25.5","20.9","24.9","27.5","22.3","28.3","31.4","25.1","32.1","35.9","28.3","36.4","41.1","31.6"
"Ghana","3","5.6","0.3","3.5","6.6","0.3","3.6","6.8","0.4","3.6","7.1","0.4","4.2","7.8","0.5","4.9","9.2","0.6","5.9","10.9","0.8","7","12.8","1.1"
"Greece","29.8","31.5","28","33.5","36.5","30.5","34.5","37.7","31.2","34.5","38.8","31.9","37.9","42.3","33.5","42.9","49.1","36.7","48.5","57","40","54.9","65.9","43.8"
"Guatemala","10.1","18.9","1.3","10.9","20.1","1.6","11","20.4","1.6","11","20.5","1.7","11.6","21.2","1.9","12.5","22.6","2.3","13.4","23.9","2.8","14.3","25.2","3.3"
"Guinea-Bissau","7.6","14.4","0.7","9","17","0.9","9.3","17.6","0.9","9.3","18.2","1","10.7","20.2","1.1","12.7","23.9","1.4","15","28.4","1.6","18","34","2"
"Guyana","9.6","17.2","1.9","12.1","21.7","2.4","12.6","22.7","2.5","12.6","23.8","2.6","15.1","27.3","2.9","19.1","34.6","3.6","24.1","43.6","4.5","30.2","54.9","5.5"
"Haiti","6.9","11.1","2.6","7.7","12.2","3.1","7.9","12.5","3.2","7.9","12.7","3.4","8.6","13.5","3.7","9.7","15","4.4","10.9","16.5","5.3","12.3","18.3","6.3"
"Hungary","30.7","34.3","27","31.8","35.8","27.8","32.2","36.4","28","32.2","36.5","28","33.2","37.6","28.7","34.6","39.4","29.7","35.9","41.3","30.5","37.4","43.1","31.6"
"Iceland","9.6","9.3","9.9","12","11.9","12","12.6","12.6","12.5","12.6","13.3","13.1","15.2","15.4","14.9","19.1","19.9","18.2","24","25.5","22.4","30.2","32.8","27.6"
"India","23","36.2","9.8","27.2","41.3","13","28.1","42.4","13.7","28.1","43.6","14.5","32.2","47.2","17.2","38.1","53.5","22.7","45.5","61","29.9","54.5","69.9","39"
"Indonesia","38","72.9","3.1","37.6","71.4","3.7","37.2","70.6","3.8","37.2","70.3","3.9","36.7","69.1","4.3","36.3","67.4","5.1","35.8","65.6","5.9","35.4","63.8","6.9"
"Iran (Islamic Republic of)","12.4","22.3","2.5","13.6","24.1","3.1","14","24.7","3.3","14","25.2","3.4","15.3","26.5","4","17","29","5","19","31.6","6.4","21.5","34.8","8.1"
"Iraq","18.1","34.9","1.3","18.5","35.1","1.8","18.8","35.5","2","18.8","35.5","2.1","19.1","35.5","2.6","19.9","36.1","3.6","20.6","36.1","5.1","22","36.9","7.1"
"Ireland","18.2","20.2","16.1","20.8","22.5","19","21.4","23.1","19.7","21.4","23.7","20.3","23.8","25.2","22.3","27.1","28.1","26.1","31.2","31.5","30.9","35.6","35.2","35.9"
"Israel","19.3","27","11.6","21.2","28.9","13.5","21.6","29.3","13.9","21.6","30.2","14.2","23.4","31.4","15.4","25.9","33.7","18","28.6","36.3","20.9","31.7","39.1","24.2"
"Italy","22.4","25.2","19.6","23.1","26.6","19.5","23.3","26.9","19.6","23.3","27.1","19.6","23.8","27.9","19.6","24.5","29.4","19.6","25.3","30.9","19.6","26.2","32.6","19.7"
"Jamaica","8.1","13","3.1","9.4","15","3.8","9.7","15.5","3.9","9.7","15.9","4.1","11","17.4","4.6","12.8","20.1","5.5","14.9","23.1","6.7","17.4","26.7","8.1"
"Japan","17.6","26.1","9","20.1","30.1","10","20.5","30.8","10.2","20.5","31.8","10.3","22.7","34.5","10.9","25.8","39.5","12","29.4","45.5","13.2","33.3","52","14.5"
"Jordan","35.7","57.7","13.7","34.8","56.8","12.8","34.6","56.5","12.7","34.6","55.6","12.6","33.7","55.2","12.1","32.6","53.7","11.4","31.7","52.5","10.8","30.7","51.2","10.1"
"Kazakhstan","21","36.1","5.9","23.2","39.6","6.7","23.5","40.1","6.9","23.5","41","7.1","25.4","43.2","7.6","28.1","47.5","8.6","30.9","52","9.8","34.2","57.1","11.2"
"Kenya","9.7","17.2","2.2","11.1","19.5","2.7","11.5","20.1","2.9","11.5","20.6","3","12.8","22.2","3.3","14.7","25.2","4.1","16.8","28.6","5","19.3","32.4","6.1"
"Kiribati","35.7","48.3","23","40.6","53.9","27.3","41.7","55.2","28.2","41.7","56.2","29.1","46.4","60.4","32.3","52.7","66.9","38.4","60.4","74.8","45.9","68.5","83.1","53.9"
"Kuwait","17.4","32.8","1.9","17.9","33.5","2.2","17.9","33.5","2.3","17.9","33.6","2.4","18.3","33.9","2.6","18.9","34.6","3.1","19.5","35.4","3.6","20","35.8","4.2"
"Kyrgyzstan","26.7","50.5","2.9","25.4","48","2.8","27.6","51.8","3.3","27.6","52.6","3.4","28.4","53.1","3.6","29.4","54.8","4","30.3","56.2","4.4","31.4","57.8","5"
"Lao People's Democratic Republic","28.5","49","8","31.8","53.3","10.3","32.5","54.1","10.9","32.5","55.1","11.5","35.8","58.2","13.3","40.5","63.6","17.3","46.2","70.1","22.3","52.5","76","28.9"
"Latvia","35.5","47.9","23.1","37","50.3","23.7","37.2","50.6","23.8","37.2","51.1","23.8","38.5","52.5","24.4","40.1","55.1","25.1","41.9","58","25.7","43.8","61.3","26.3"
"Lebanon","37.8","47.9","27.7","38.2","47.5","28.9","38.4","47.6","29.2","38.4","47.3","29.4","38.7","47.1","30.2","39.1","46.5","31.7","39.7","46.2","33.1","40.2","45.7","34.6"
"Lesotho","23.1","41.9","4.2","24.3","43.1","5.4","24.4","43.1","5.7","24.4","43.6","6.1","25.6","44.1","7","27.2","45.2","9.1","28.9","46","11.8","31.1","47","15.2"
"Liberia","6.8","12.1","1.5","8.2","14.3","2","8.4","14.7","2.1","8.4","15.1","2.2","9.6","16.6","2.6","11.5","19.5","3.5","13.6","22.6","4.6","16.3","26.4","6.2"
"Lithuania","29.9","38.7","21","32","42.1","21.8","32.3","42.8","21.8","32.3","43.4","21.9","34","45.5","22.4","36.4","49.5","23.2","38.9","53.6","24.1","41.4","58","24.8"
"Luxembourg","19.2","19.8","18.6","21.1","22.4","19.8","21.6","23","20.1","21.6","23.5","20.3","23.2","25.3","21.1","25.6","28.6","22.5","28.2","32.5","23.8","31","36.5","25.5"
"Madagascar","24.8","39.5","10","27.8","42.7","12.8","28.4","43.3","13.5","28.4","43.9","14.2","31.3","46","16.5","35.4","49.5","21.3","40.7","53.9","27.4","46.7","58.2","35.2"
"Malawi","8.9","14.7","3","10.8","17.5","4.1","11.3","18.2","4.3","11.3","18.9","4.6","13.1","20.8","5.4","16","24.7","7.2","19.5","29.5","9.5","24.1","35.3","12.8"
"Malaysia","21.1","41.4","0.8","22.5","43.8","1.1","22.8","44.3","1.2","22.8","44.7","1.3","23.9","46.1","1.6","25.6","49","2.2","27.5","51.9","3","29.5","54.8","4.1"
"Maldives","23.1","41.8","4.4","25.2","44.4","6","25.9","45.3","6.4","25.9","45.5","6.7","27.6","47.2","8","30.6","50.4","10.7","34.1","53.7","14.4","38.3","57.2","19.4"
"Mali","7.1","13.4","0.7","8.3","15.6","1","8.6","16.1","1.1","8.6","16.6","1.2","9.9","18.2","1.5","11.6","21.1","2.1","13.8","24.5","3","16.3","28.4","4.2"
"Malta","22.1","23.6","20.5","24","26.4","21.6","24.5","27.1","21.8","24.5","27.7","22.1","26.3","29.8","22.8","28.6","33.3","23.9","31.4","37.5","25.3","34.3","42.2","26.4"
"Marshall Islands","28.4","48.8","7.9","28.5","48.7","8.3","28.4","48.5","8.3","28.4","48.3","8.4","28.4","48.2","8.6","28.4","47.7","9","28.4","47.3","9.4","28.5","47.1","9.8"
"Mauritania","9.1","16.5","1.6","10.7","19.3","2.1","11.1","19.9","2.2","11.1","20.6","2.4","12.6","22.4","2.8","15.1","26.3","3.8","17.9","30.7","5.1","21.3","35.6","6.9"
